Navn,Hold,Position,Pris,Startpris,Vækst Runde 1,Vækst Runde 2,Vækst Runde 3,Vækst%,Runde1-points,Popularitet%,UdeAfSpil,Skadet
Luka Vuskovic,Kroatien,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,2.23,Nej,Nej
Ivan Smolcic,Kroatien,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Kristijan Jakic,Kroatien,DEF,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.07,Nej,Nej
Marin Pongracic,Kroatien,DEF,2631000,2500000,-5000,92000,44000,5.24,0,0.05,Nej,Nej
Duje Caleta-Car,Kroatien,DEF,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.07,Nej,Nej
Josko Gvardiol,Kroatien,DEF,3551000,3500000,-13000,32000,32000,1.46,0,2.87,Nej,Nej
Antonio Rüdiger,Tyskland,DEF,4597000,4500000,52000,52000,-7000,2.16,0,3.31,Nej,Nej
Jonathan Tah,Tyskland,DEF,4611000,4500000,74000,44000,-7000,2.47,0,2.34,Nej,Nej
Maximilian Mittelstädt,Tyskland,DEF,3500000,3500000,0,0,0,0.00,0,0.00,Ja,Nej
Waldemar Anton,Tyskland,DEF,3532000,3500000,42000,-5000,-5000,0.91,0,0.44,Nej,Nej
Nico Schlotterbeck,Tyskland,DEF,4338000,4000000,319000,24000,-5000,8.45,0,7.38,Nej,Nej
Malick Thiaw,Tyskland,DEF,2981000,3000000,-5000,-5000,-9000,-0.63,0,0.27,Nej,Nej
Robin Koch,Tyskland,DEF,3500000,3500000,0,0,0,0.00,0,0.00,Ja,Nej
Nathaniel Brown,Tyskland,DEF,2858000,2500000,309000,54000,-5000,14.32,0,34.33,Nej,Nej
David Raum,Tyskland,DEF,4550000,4500000,62000,-5000,-7000,1.11,0,1.94,Nej,Nej
Malo Gusto,Frankrig,DEF,4069000,4000000,-5000,32000,42000,1.73,0,0.40,Nej,Nej
Pierre Kalulu,Frankrig,DEF,3000000,3000000,0,0,0,0.00,0,0.00,Ja,Nej
Maxence Lacroix,Frankrig,DEF,3054000,3000000,-5000,-5000,64000,1.80,0,0.19,Nej,Nej
Jules Kounde,Frankrig,DEF,3720000,3500000,54000,112000,54000,6.29,0,19.35,Nej,Nej
William Saliba,Frankrig,DEF,4661000,4500000,54000,112000,-5000,3.58,0,5.48,Nej,Nej
Dayot Upamecano,Frankrig,DEF,4220000,4000000,54000,112000,54000,5.50,0,3.83,Nej,Nej
Ibrahima Konate,Frankrig,DEF,3032000,3000000,-5000,-5000,42000,1.07,0,2.34,Nej,Nej
Theo Hernandez,Frankrig,DEF,4613000,4500000,54000,-5000,64000,2.51,0,2.97,Nej,Nej
Lucas Hernandez,Frankrig,DEF,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.86,Nej,Nej
Lucas Digne,Frankrig,DEF,3602000,3500000,-5000,112000,-5000,2.91,0,0.58,Nej,Nej
Stefan de Vrij,Holland,DEF,3000000,3000000,0,0,0,0.00,0,0.01,Ja,Nej
Nathan Ake,Holland,DEF,3553000,3500000,4000,-5000,54000,1.51,0,1.92,Nej,Nej
Virgil van Dijk,Holland,DEF,5422000,5000000,224000,74000,124000,8.44,0,4.32,Nej,Nej
Lutsharel Geertruida,Holland,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.09,Nej,Nej
Denzel Dumfries,Holland,DEF,5284000,5000000,16000,194000,74000,5.68,0,2.22,Nej,Nej
Jurrien Timber,Holland,DEF,2500000,2500000,0,0,0,0.00,0,0.10,Ja,Nej
Jeremie Frimpong,Holland,DEF,4000000,4000000,0,0,0,0.00,0,0.00,Ja,Nej
Jorrel Hato,Holland,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.32,Nej,Nej
Micky van de Ven,Holland,DEF,4065000,4000000,-4000,74000,-5000,1.63,0,2.47,Nej,Nej
Marc Pubill,Spanien,DEF,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.20,Nej,Nej
Jan Paul van Hecke,Holland,DEF,3329000,3000000,26000,74000,229000,10.97,0,1.14,Nej,Nej
Dean Donny Huijsen,Spanien,DEF,4000000,4000000,0,0,0,0.00,0,0.00,Ja,Nej
Pau Cubarsi,Spanien,DEF,4276000,4000000,62000,122000,92000,6.90,0,6.73,Nej,Nej
Eric Garcia,Spanien,DEF,2985000,3000000,-5000,-5000,-5000,-0.50,0,2.33,Nej,Nej
Robin Le Normand,Spanien,DEF,4500000,4500000,0,0,0,0.00,0,0.00,Ja,Nej
Pedro Porro,Spanien,DEF,4622000,4500000,-5000,132000,-5000,2.71,0,1.04,Nej,Nej
Marc Cucurella,Spanien,DEF,4796000,4500000,72000,132000,92000,6.58,0,8.79,Nej,Nej
Daniel Vivian,Spanien,DEF,3500000,3500000,0,0,0,0.00,0,0.00,Ja,Nej
Alejandro 'Alex' Grimaldo,Spanien,DEF,3985000,4000000,-5000,-5000,-5000,-0.38,0,1.84,Nej,Nej
Aymeric Laporte,Spanien,DEF,4846000,4500000,72000,182000,92000,7.69,0,2.20,Nej,Nej
Victor Lindelöf,Sverige,DEF,3057000,3000000,74000,-31000,14000,1.90,0,0.46,Nej,Nej
Eric Smith,Sverige,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.09,Nej,Nej
Carl Starfelt,Sverige,DEF,2502000,2500000,-5000,-5000,12000,0.08,0,0.06,Nej,Nej
Gabriel Gudmundsson,Sverige,DEF,3017000,3000000,54000,-51000,14000,0.57,0,0.20,Nej,Nej
Emil Holm,Sverige,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Hjalmar Ekdal,Sverige,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.11,Nej,Nej
Daniel Svensson,Sverige,DEF,3049000,3000000,42000,-5000,12000,1.63,0,0.49,Nej,Nej
Isak Hien,Sverige,DEF,2535000,2500000,74000,-31000,-8000,1.40,0,0.20,Nej,Nej
Victor Eriksson,Sverige,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Gustaf Lagerbielke,Sverige,DEF,3067000,3000000,74000,-21000,14000,2.23,0,0.10,Nej,Nej
Elliot Stroud,Sverige,DEF,2065000,2000000,52000,-1000,14000,3.25,0,0.18,Nej,Nej
Achref Abada,Algeriet,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.09,Nej,Nej
Sohaib Nair,Algeriet,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Mohamed Amine Tougai,Algeriet,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Youcef Atal,Algeriet,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Jaouen Hadjam,Algeriet,DEF,2543000,2500000,-5000,32000,16000,1.72,0,0.01,Nej,Nej
Samir Chergui,Algeriet,DEF,2004000,2000000,-5000,-5000,14000,0.20,0,0.01,Nej,Nej
Zineddine Belaid,Algeriet,DEF,2541000,2500000,-5000,32000,14000,1.64,0,0.01,Nej,Nej
Mehdi Dorval,Algeriet,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Rayan Ait-Nouri,Algeriet,DEF,3033000,3000000,-25000,44000,14000,1.10,0,0.27,Nej,Nej
Ramy Bensebaini,Algeriet,DEF,3037000,3000000,-25000,44000,18000,1.23,0,0.06,Nej,Nej
Rafik Belghali,Algeriet,DEF,2710000,2500000,-25000,44000,191000,8.40,0,0.02,Nej,Nej
Aissa Mandi,Algeriet,DEF,3037000,3000000,-25000,44000,18000,1.23,0,0.05,Nej,Nej
Nicolas Otamendi,Argentina,DEF,4628000,4500000,32000,42000,54000,2.84,0,0.95,Nej,Nej
Nicolas Tagliafico,Argentina,DEF,4091000,4000000,-5000,42000,54000,2.27,0,0.57,Nej,Nej
Leonardo Balerdi,Argentina,DEF,4000000,4000000,0,0,0,0.00,0,0.01,Ja,Nej
Lisandro Martinez,Argentina,DEF,3209000,3000000,112000,102000,-5000,6.97,0,4.81,Nej,Nej
Cristian Romero,Argentina,DEF,4149000,4000000,112000,42000,-5000,3.72,0,2.85,Nej,Nej
Julio Soler,Argentina,DEF,3000000,3000000,0,0,0,0.00,0,0.00,Ja,Nej
Facundo Medina,Argentina,DEF,2739000,2500000,112000,132000,-5000,9.56,0,1.62,Nej,Nej
Nahuel Molina,Argentina,DEF,4149000,4000000,52000,102000,-5000,3.72,0,1.18,Nej,Nej
Gonzalo Montiel,Argentina,DEF,3532000,3500000,42000,-5000,-5000,0.91,0,0.69,Nej,Nej
Lucas Herrington,Australien,DEF,2052000,2000000,-5000,-5000,62000,2.60,0,0.02,Nej,Nej
Jason Geria,Australien,DEF,2536000,2500000,42000,-1000,-5000,1.44,0,0.01,Nej,Nej
Kai Trewin,Australien,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Jacob Italiano,Australien,DEF,2050000,2000000,92000,-37000,-5000,2.50,0,0.08,Nej,Nej
Agustin Giay,Argentina,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Jordan Bos,Australien,DEF,3147000,3000000,102000,-37000,82000,4.90,0,0.04,Nej,Nej
Alessandro Circati,Australien,DEF,2627000,2500000,102000,-37000,62000,5.08,0,0.06,Nej,Nej
Cameron Burgess,Australien,DEF,3030000,3000000,102000,-67000,-5000,1.00,0,0.05,Nej,Nej
Kye Rowles,Australien,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Harry Souttar,Australien,DEF,2637000,2500000,112000,-37000,62000,5.48,0,0.07,Nej,Nej
Aziz Behich,Australien,DEF,2589000,2500000,32000,-5000,62000,3.56,0,0.01,Nej,Nej
Milos Degenek,Australien,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Callum Elder,Australien,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Douglas Santos,Brasilien,DEF,2718000,2500000,14000,92000,112000,8.72,0,5.21,Nej,Nej
Marquinhos,Brasilien,DEF,5238000,5000000,14000,112000,112000,4.76,0,1.83,Nej,Nej
