Navn,Hold,Position,Pris,Startpris,Vækst Runde 1,Vækst Runde 2,Vækst Runde 3,Vækst%,Runde1-points,Popularitet%,UdeAfSpil,Skadet
Nkosinathi Sibisi,Sydafrika,DEF,2453000,2500000,-37000,-5000,-5000,-1.88,0,0.02,Nej,Nej
Aubrey Modiba,Sydafrika,DEF,3079000,3000000,-7000,14000,72000,2.63,0,0.05,Nej,Nej
Olwethu Makhanya,Sydafrika,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Bradley Cross,Sydafrika,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.07,Nej,Nej
Kamogelo Sebelebele,Sydafrika,DEF,2002000,2000000,-5000,12000,-5000,0.10,0,0.02,Nej,Nej
Ime Okon,Sydafrika,DEF,2089000,2000000,-17000,14000,92000,4.45,0,0.07,Nej,Nej
Khulumani Ndamane,Sydafrika,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Mathias Olivera,Uruguay,DEF,4001000,4000000,14000,-4000,-9000,0.03,0,0.27,Nej,Nej
Jose Maria Gimenez,Uruguay,DEF,4485000,4500000,-5000,-5000,-5000,-0.33,0,0.17,Nej,Nej
Martin Caceres,Uruguay,DEF,3000000,3000000,0,0,0,0.00,0,0.00,Ja,Nej
Guillermo Varela,Uruguay,DEF,3001000,3000000,14000,16000,-29000,0.03,0,0.59,Nej,Nej
Ronald Araujo,Uruguay,DEF,4485000,4500000,-5000,-5000,-5000,-0.33,0,0.24,Nej,Nej
Sebastian Caceres,Uruguay,DEF,2521000,2500000,14000,16000,-9000,0.84,0,0.17,Nej,Nej
Jose Luis Rodriguez Bebanz,Uruguay,DEF,3000000,3000000,0,0,0,0.00,0,0.00,Ja,Nej
Santiago Bueno,Uruguay,DEF,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.08,Nej,Nej
Matias Viña,Uruguay,DEF,3994000,4000000,4000,-5000,-5000,-0.15,0,0.06,Nej,Nej
Auston Trusty,USA,DEF,2707000,2500000,-5000,32000,180000,8.28,0,0.04,Nej,Nej
Mark McKenzie,USA,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.10,Nej,Nej
Miles Robinson,USA,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.14,Nej,Nej
Sergino Dest,USA,DEF,3165000,3000000,62000,112000,-9000,5.50,0,1.27,Nej,Nej
Joe Scally,USA,DEF,2530000,2500000,-5000,32000,3000,1.20,0,0.03,Nej,Nej
Antonee Robinson,USA,DEF,2141000,2000000,64000,82000,-5000,7.05,0,14.39,Nej,Nej
Chris Richards,USA,DEF,3141000,3000000,64000,82000,-5000,4.70,0,0.37,Nej,Nej
Tim Ream,USA,DEF,2661000,2500000,64000,102000,-5000,6.44,0,0.21,Nej,Nej
Max Arfsten,USA,DEF,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.03,Nej,Nej
Alex Freeman,USA,DEF,2892000,2500000,124000,277000,-9000,15.68,0,0.76,Nej,Nej
Willer Ditta,Colombia,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.06,Nej,Nej
Deiver Machado,Colombia,DEF,3052000,3000000,-5000,-5000,62000,1.73,0,0.05,Nej,Nej
Yerry Mina,Colombia,DEF,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.13,Nej,Nej
Davinson Sanchez,Colombia,DEF,3718000,3500000,54000,102000,62000,6.23,0,2.40,Nej,Nej
Johan Mojica,Colombia,DEF,3631000,3500000,34000,102000,-5000,3.74,0,0.50,Nej,Nej
Jhon Lucumi,Colombia,DEF,3688000,3500000,54000,72000,62000,5.37,0,0.20,Nej,Nej
Santiago Arias,Colombia,DEF,3552000,3500000,-5000,-5000,62000,1.49,0,0.06,Nej,Nej
Juan Cabal,Colombia,DEF,3000000,3000000,0,0,0,0.00,0,0.00,Ja,Nej
Yerson Mosquera,Colombia,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Daniel Muñoz,Colombia,DEF,4581000,4000000,229000,340000,12000,14.52,0,1.39,Nej,Nej
Piero Hincapie,Ecuador,DEF,3567000,3500000,-9000,62000,14000,1.91,0,2.43,Nej,Nej
Angelo Preciado,Ecuador,DEF,3045000,3000000,-9000,12000,42000,1.50,0,0.17,Nej,Nej
Felix 'Feliz' Torres,Ecuador,DEF,3022000,3000000,-5000,-5000,32000,0.73,0,0.14,Nej,Nej
Jackson Porozo,Ecuador,DEF,1961000,2000000,-29000,-5000,-5000,-1.95,0,0.22,Nej,Nej
Joel Ordonez,Ecuador,DEF,2530000,2500000,-9000,-5000,44000,1.20,0,6.48,Nej,Nej
Willian Pacho,Ecuador,DEF,3107000,3000000,-9000,72000,44000,3.57,0,3.45,Nej,Nej
Pervis Estupinan,Ecuador,DEF,3599000,3500000,-5000,62000,42000,2.83,0,0.56,Nej,Nej
Jose Hurtado,Ecuador,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Nihad Mujakic,Bosnien-Hercegovina,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Nidal Celik,Bosnien-Hercegovina,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.03,Ja,Nej
Dennis Hadzikadunic,Bosnien-Hercegovina,DEF,2592000,2500000,-5000,-5000,102000,3.68,0,0.03,Nej,Nej
Sead Kolasinac,Bosnien-Hercegovina,DEF,2605000,2500000,74000,-23000,54000,4.20,0,0.09,Nej,Nej
Amar Dedic,Bosnien-Hercegovina,DEF,2976000,3000000,14000,-33000,-5000,-0.80,0,0.29,Nej,Nej
Nikola Katic,Bosnien-Hercegovina,DEF,3015000,3000000,-6000,-23000,44000,0.50,0,0.08,Nej,Nej
Stjepan Radeljic,Bosnien-Hercegovina,DEF,2544000,2500000,-5000,-5000,54000,1.76,0,0.01,Nej,Nej
Tarik Muharemovic,Bosnien-Hercegovina,DEF,2950000,3000000,14000,-59000,-5000,-1.67,0,0.17,Nej,Nej
Arjan Malic,Bosnien-Hercegovina,DEF,2039000,2000000,0,-5000,44000,1.95,0,0.01,Nej,Nej
Ali Nemati,Iran,DEF,2572000,2500000,16000,62000,-6000,2.88,0,0.05,Nej,Nej
Hossein Abarghouei,Iran,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Danial Esmaeilifar,Iran,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Hossein Kanaani,Iran,DEF,2561000,2500000,-5000,72000,-6000,2.44,0,0.02,Nej,Nej
Saleh Hardani,Iran,DEF,2519000,2500000,-5000,12000,12000,0.76,0,0.01,Nej,Nej
Shojae Khalilzadeh,Iran,DEF,2572000,2500000,16000,62000,-6000,2.88,0,0.02,Nej,Nej
Abolfazl Jalali,Iran,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Milad Mohammadi,Iran,DEF,2552000,2500000,16000,12000,24000,2.08,0,0.03,Nej,Nej
Ramin Rezaeian,Iran,DEF,3088000,2500000,284000,62000,242000,23.52,0,0.05,Nej,Nej
Ehsan Hajsafi,Iran,DEF,2049000,2000000,-8000,62000,-5000,2.45,0,0.03,Nej,Nej
Daniyal Eiri,Iran,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Arya Yousefi,Iran,DEF,2014000,2000000,24000,-5000,-5000,0.70,0,0.07,Nej,Nej
Nathan Ngoy,Belgien,DEF,2021000,2000000,14000,12000,-5000,1.05,0,9.41,Nej,Nej
Thomas Meunier,Belgien,DEF,3531000,3500000,24000,12000,-5000,0.89,0,1.35,Nej,Nej
Brandon Mechele,Belgien,DEF,2660000,2500000,24000,62000,74000,6.40,0,0.64,Nej,Nej
Timothy Castagne,Belgien,DEF,3570000,3500000,-16000,12000,74000,2.00,0,0.65,Nej,Nej
Maxim De Cuyper,Belgien,DEF,4188000,4000000,2000,102000,84000,4.70,0,0.58,Nej,Nej
Zeno Debast,Belgien,DEF,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.14,Nej,Nej
Arthur Theate,Belgien,DEF,3091000,3000000,-5000,12000,84000,3.03,0,0.51,Nej,Nej
Koni de Winter,Belgien,DEF,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.10,Nej,Nej
Joaquin Seys,Belgien,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.05,Nej,Nej
Rebin Sulaka,Iraq,DEF,1927000,2000000,-5000,-9000,-59000,-3.65,0,0.01,Nej,Nej
Hussein Ali,Iraq,DEF,2963000,3000000,-7000,-25000,-5000,-1.23,0,0.03,Nej,Nej
Frans Dhia Putros,Iraq,DEF,1949000,2000000,-5000,-5000,-41000,-2.55,0,0.02,Nej,Nej
Zaid Tahseen,Iraq,DEF,2435000,2500000,-43000,-17000,-5000,-2.60,0,0.01,Nej,Nej
Ahmed Hasan Maknzi,Iraq,DEF,1965000,2000000,-5000,-5000,-25000,-1.75,0,0.00,Nej,Nej
Merchas Doski,Iraq,DEF,2391000,2500000,-23000,-25000,-61000,-4.36,0,0.02,Nej,Nej
Akam Hashem,Iraq,DEF,1911000,2000000,-23000,-25000,-41000,-4.45,0,0.03,Nej,Nej
Manaf Younis,Iraq,DEF,1957000,2000000,-5000,-5000,-33000,-2.15,0,0.00,Nej,Nej
Mustafa Saadoon,Iraq,DEF,1973000,2000000,-17000,-5000,-5000,-1.35,0,0.01,Nej,Nej
Ahmed Yahya,Iraq,DEF,2000000,2000000,0,0,0,0.00,0,0.03,Ja,Nej
Roderick Miller,Panama,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Jorge Gutierrez,Panama,DEF,2473000,2500000,-5000,-5000,-17000,-1.08,0,0.01,Nej,Nej
Jose Cordoba,Panama,DEF,2465000,2500000,-9000,-9000,-17000,-1.40,0,0.00,Nej,Nej
Jiovany Ramos,Panama,DEF,1977000,2000000,-9000,-9000,-5000,-1.15,0,0.01,Nej,Nej
Edgardo Farina,Panama,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Eric Davis,Panama,DEF,2993000,3000000,-5000,-1000,-1000,-0.23,0,0.03,Nej,Nej
Fidel Escobar,Panama,DEF,2473000,2500000,-5000,-5000,-17000,-1.08,0,0.03,Nej,Nej
Michael Amir Murillo,Panama,DEF,2475000,2500000,-9000,1000,-17000,-1.00,0,0.03,Nej,Nej
Andres Andrade,Panama,DEF,2445000,2500000,-9000,-9000,-37000,-2.20,0,0.01,Nej,Nej
Cesar Blackman,Panama,DEF,2475000,2500000,-11000,-9000,-5000,-1.00,0,0.01,Nej,Nej
Martin Krug,Panama,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Karim Hafez,Egypten,DEF,2002000,2000000,12000,-5000,-5000,0.10,0,0.06,Nej,Nej
Mohamed Abdelmonem,Egypten,DEF,2541000,2500000,-5000,32000,14000,1.64,0,0.03,Nej,Nej
Rami Rabia,Egypten,DEF,3088000,3000000,12000,62000,14000,2.93,0,0.06,Nej,Nej
Hossam Abdelmaguid,Egypten,DEF,2522000,2500000,-5000,32000,-5000,0.88,0,0.01,Nej,Nej
Yasser Ibrahim,Egypten,DEF,2560000,2500000,14000,54000,-8000,2.40,0,0.09,Nej,Nej
Khaled Sobhi,Egypten,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Mohamed Hany,Egypten,DEF,2592000,2500000,-36000,114000,14000,3.68,0,0.15,Nej,Nej
Ahmed Nabil Kouka,Egypten,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Tarek Alaa,Egypten,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.04,Nej,Nej
Ahmed Fatouh,Egypten,DEF,2572000,2500000,-6000,64000,14000,2.88,0,0.13,Nej,Nej
Redouane Halhal,Marokko,DEF,2046000,2000000,-5000,-5000,56000,2.30,0,0.06,Nej,Nej
Abdelhamid Ait Boudlal,Marokko,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Zakaria El Ouahdi,Marokko,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.24,Nej,Nej
Marwane Saadane,Marokko,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.00,Nej,Nej
Achraf Hakimi,Marokko,DEF,4450000,4000000,14000,92000,344000,11.25,0,7.81,Nej,Nej
Jawad El Yamiq,Marokko,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Nayef Aguerd,Marokko,DEF,3000000,3000000,0,0,0,0.00,0,0.10,Ja,Nej
Issa Diop,Marokko,DEF,2581000,2500000,14000,72000,-5000,3.24,0,0.62,Nej,Nej
Noussair Mazraoui,Marokko,DEF,3648000,3500000,14000,92000,42000,4.23,0,0.77,Nej,Nej
Chadi Riad,Marokko,DEF,2222000,2000000,14000,92000,116000,11.10,0,0.93,Nej,Nej
Souffian El Karouani,Marokko,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Youssef Belammari,Marokko,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.16,Nej,Nej
Anass Salah-Eddine,Marokko,DEF,2553000,2500000,12000,-5000,46000,2.12,0,0.14,Nej,Nej
Mamadou Sarr,Senegal,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.07,Nej,Nej
El Hadji Malick Diouf,Senegal,DEF,3473000,3500000,-15000,-7000,-5000,-0.77,0,0.28,Nej,Nej
Abdoulaye Seck,Senegal,DEF,3082000,3000000,-5000,-5000,92000,2.73,0,0.11,Nej,Nej
Moussa Niakhate,Senegal,DEF,3112000,3000000,-15000,-5000,132000,3.73,0,0.04,Nej,Nej
Ismail Jakobs,Senegal,DEF,2628000,2500000,-5000,1000,132000,5.12,0,0.03,Nej,Nej
Youssouf Sabaly,Senegal,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Kalidou Koulibaly,Senegal,DEF,2465000,2500000,-15000,-15000,-5000,-1.40,0,0.22,Nej,Nej
Pape Abou Cisse,Senegal,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Abdou Diallo,Senegal,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Ilay Camara,Senegal,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Antoine Mendy,Senegal,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.09,Nej,Nej
Moustapha Mbow,Senegal,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Raed Chikhaoui,Tunesien,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Mohamed Amine Ben Hamida,Tunesien,DEF,2437000,2500000,-31000,-17000,-15000,-2.52,0,0.01,Nej,Nej
Adem Arous,Tunesien,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.03,Nej,Nej
Ghaith Zaalouni,Tunesien,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Omar Rekik,Tunesien,DEF,2106000,2000000,144000,-33000,-5000,5.30,0,0.09,Nej,Nej
Ali Maaloul,Tunesien,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Dylan Bronn,Tunesien,DEF,2473000,2500000,-5000,-17000,-5000,-1.08,0,0.02,Nej,Nej
Yassine Meriah,Tunesien,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Yan Valery,Tunesien,DEF,2437000,2500000,-15000,-33000,-15000,-2.52,0,0.01,Nej,Nej
Ali Abdi,Tunesien,DEF,2921000,3000000,-31000,-33000,-15000,-2.63,0,0.06,Nej,Nej
Montassar Talbi,Tunesien,DEF,2921000,3000000,-31000,-33000,-15000,-2.63,0,0.01,Nej,Nej
Alaa Ghram,Tunesien,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Moutaz Neffati,Tunesien,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Ali Majrashi,Saudi-Arabien,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Nawaf Bu Washl,Saudi-Arabien,DEF,2569000,2500000,12000,-5000,62000,2.76,0,0.00,Nej,Nej
Moteb Al-Harbi,Saudi-Arabien,DEF,1993000,2000000,14000,-33000,12000,-0.35,0,0.01,Nej,Nej
Mohammed Sulaiman,Saudi-Arabien,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Jehad Thakri,Saudi-Arabien,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Abdulelah Al-Amri,Saudi-Arabien,DEF,2708000,2500000,179000,-33000,62000,8.32,0,0.02,Nej,Nej
Hassan Al Tambakti,Saudi-Arabien,DEF,1943000,2000000,14000,-83000,12000,-2.85,0,0.01,Nej,Nej
Saud Abdulhamid,Saudi-Arabien,DEF,3023000,3000000,14000,-33000,42000,0.77,0,0.02,Nej,Nej
Ali Lajami,Saudi-Arabien,DEF,1991000,2000000,12000,-33000,12000,-0.45,0,0.01,Nej,Nej
Hassan Kadesh,Saudi-Arabien,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.00,Nej,Nej
Mohammed Abu Al-Shamat,Saudi-Arabien,DEF,2535000,2500000,14000,-1000,22000,1.40,0,0.01,Nej,Nej
Lucas Mendes,Qatar,DEF,2481000,2500000,-5000,-9000,-5000,-0.76,0,0.01,Nej,Nej
Al-Hashmi Al-Hussain,Qatar,DEF,1965000,2000000,-5000,-25000,-5000,-1.75,0,0.03,Nej,Nej
Seydinaissa Laye,Qatar,DEF,1950000,2000000,14000,-49000,-15000,-2.50,0,0.02,Nej,Nej
Pedro 'Ro-Ro' Miguel Correia,Qatar,DEF,2460000,2500000,14000,-49000,-5000,-1.60,0,0.00,Nej,Nej
Sultan Al-Brake,Qatar,DEF,2447000,2500000,-5000,-33000,-15000,-2.12,0,0.00,Nej,Nej
Tarek Salman,Qatar,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Boualem Khoukhi,Qatar,DEF,2645000,2500000,209000,-49000,-15000,5.80,0,0.01,Nej,Nej
Homam Al-Amin Ahmed,Qatar,DEF,2502000,2500000,74000,-67000,-5000,0.08,0,0.00,Nej,Nej
Ayoub Al-Oui,Qatar,DEF,2450000,2500000,4000,-49000,-5000,-2.00,0,0.01,Nej,Nej
Ross McCrorie,Skotland,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
John Souttar,Skotland,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.03,Nej,Nej
Jack Hendry,Skotland,DEF,2058000,2000000,92000,-9000,-25000,2.90,0,0.23,Nej,Nej
Scott McKenna,Skotland,DEF,2465000,2500000,-5000,-5000,-25000,-1.40,0,0.11,Nej,Nej
Nathan Patterson,Skotland,DEF,1998000,2000000,32000,-9000,-25000,-0.10,0,0.12,Nej,Nej
Aaron Hickey,Skotland,DEF,2562000,2500000,72000,-5000,-5000,2.48,0,0.31,Nej,Nej
Andy Robertson,Skotland,DEF,3046000,3000000,92000,-29000,-17000,1.53,0,2.72,Nej,Nej
Grant Hanley,Skotland,DEF,2578000,2500000,92000,-9000,-5000,3.12,0,0.11,Nej,Nej
Anthony Ralston,Skotland,DEF,2503000,2500000,-5000,-1000,9000,0.12,0,0.06,Nej,Nej
Kieran Tierney,Skotland,DEF,2477000,2500000,-5000,-9000,-9000,-0.92,0,0.21,Nej,Nej
Dominic Hyam,Skotland,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.08,Nej,Nej
Ralph Priso,Canada,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Moïse Bombito,Canada,DEF,2552000,2500000,-5000,62000,-5000,2.08,0,0.03,Nej,Nej
Alphonso Davies,Canada,DEF,3985000,4000000,-5000,-5000,-5000,-0.38,0,0.79,Nej,Nej
Alfie Jones,Canada,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.18,Nej,Nej
Richie Laryea,Canada,DEF,3159000,3000000,24000,142000,-7000,5.30,0,0.14,Nej,Nej
Alistair Johnston,Canada,DEF,3149000,3000000,-6000,152000,3000,4.97,0,0.28,Nej,Nej
Kamal Miller,Canada,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Derek Cornelius,Canada,DEF,2549000,2500000,14000,42000,-7000,1.96,0,0.44,Nej,Nej
Joel Waterman,Canada,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
Jahkeele Rutty,Canada,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Luc De Fougerolles,Canada,DEF,2119000,2000000,-6000,122000,3000,5.95,0,1.33,Nej,Nej
Abdukodir Khusanov,Usbekistan,DEF,2889000,3000000,-35000,-41000,-35000,-3.70,0,0.24,Nej,Nej
Behruzjon Karimov,Usbekistan,DEF,1939000,2000000,-15000,-41000,-5000,-3.05,0,0.02,Nej,Nej
Avazbek Ulmasaliyev,Usbekistan,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Umar Eshmurodov,Usbekistan,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.00,Nej,Nej
Rustam Ashurmatov,Usbekistan,DEF,2437000,2500000,-7000,-41000,-15000,-2.52,0,0.00,Nej,Nej
Abdulla Abdullaev,Usbekistan,DEF,1939000,2000000,-15000,-41000,-5000,-3.05,0,0.10,Nej,Nej
Farrukh Sayfiev,Usbekistan,DEF,2483000,2500000,-7000,-5000,-5000,-0.68,0,0.01,Nej,Nej
Khozhiakbar Alizhonov,Usbekistan,DEF,2463000,2500000,-5000,-17000,-15000,-1.48,0,0.01,Nej,Nej
Sherzod Nasrullaev,Usbekistan,DEF,2441000,2500000,-9000,-15000,-35000,-2.36,0,0.00,Nej,Nej
Dilshod Komilov,Usbekistan,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Jakhongir Urozov,Usbekistan,DEF,2479000,2500000,-9000,-5000,-7000,-0.84,0,0.00,Nej,Nej
Mukhammadrasul Abdumazhidov,Usbekistan,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Mukhammadkodir Khamraliev,Usbekistan,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Anas Badawi,Jordan,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Ehsan Haddad,Jordan,DEF,2531000,2500000,-7000,-7000,45000,1.24,0,0.01,Nej,Nej
Husam Abu Dahab,Jordan,DEF,1953000,2000000,-5000,-27000,-15000,-2.35,0,0.01,Nej,Nej
Ahmad Assaf,Jordan,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Yazan Al-Arab,Jordan,DEF,2393000,2500000,-65000,-7000,-35000,-4.28,0,0.01,Nej,Nej
Abdallah Nasib,Jordan,DEF,2471000,2500000,-7000,-7000,-15000,-1.16,0,0.06,Nej,Nej
Saed Al-Rosan,Jordan,DEF,1981000,2000000,-9000,-5000,-5000,-0.95,0,0.02,Nej,Nej
Yousef Abu Al-Jazar,Jordan,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Mohammad Abualnadi,Jordan,DEF,2491000,2500000,1000,-5000,-5000,-0.36,0,0.02,Nej,Nej
Saleem Obaid,Jordan,DEF,2481000,2500000,-17000,-1000,-1000,-0.76,0,0.00,Nej,Nej
Diney Borges,Kap Verde,DEF,3130000,3000000,72000,-4000,62000,4.33,0,0.03,Nej,Nej
Roberto Lopes,Kap Verde,DEF,2140000,2000000,62000,16000,62000,7.00,0,0.03,Nej,Nej
Wagner Pina,Kap Verde,DEF,2532000,2500000,-5000,-5000,42000,1.28,0,0.01,Nej,Nej
Steven Moreira,Kap Verde,DEF,2090000,2000000,62000,16000,12000,4.50,0,0.02,Nej,Nej
Sidny Lopes Cabral,Kap Verde,DEF,3033000,3000000,42000,-4000,-5000,1.10,0,0.01,Nej,Nej
Heri Tavares,Kap Verde,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Joao Paulo,Kap Verde,DEF,2569000,2500000,12000,-5000,62000,2.76,0,0.02,Nej,Nej
Logan Costa,Kap Verde,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Stopira,Kap Verde,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Kelvin Pires,Kap Verde,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Henrik Falchener,Norge,DEF,1975000,2000000,-5000,-5000,-15000,-1.25,0,0.21,Nej,Nej
Sondre Langås,Norge,DEF,1981000,2000000,-5000,-5000,-9000,-0.95,0,0.27,Nej,Nej
Kristoffer Ajer,Norge,DEF,3115000,3000000,64000,56000,-5000,3.83,0,2.21,Nej,Nej
Julian Ryerson,Norge,DEF,3591000,3500000,64000,32000,-5000,2.60,0,6.25,Nej,Nej
Leo Østigård,Norge,DEF,2728000,2500000,227000,24000,-23000,9.12,0,0.79,Nej,Nej
Fredrik Andre Bjørkan,Norge,DEF,2475000,2500000,-5000,-5000,-15000,-1.00,0,0.21,Nej,Nej
Torbjørn Heggem,Norge,DEF,2613000,2500000,64000,54000,-5000,4.52,0,1.46,Nej,Nej
Marcus Holmgren Pedersen,Norge,DEF,2207000,2000000,-5000,221000,-9000,10.35,0,0.29,Nej,Nej
Odin Bjørtuft,Norge,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
David Møller Wolfe,Norge,DEF,3145000,3000000,104000,46000,-5000,4.83,0,1.10,Nej,Nej
Shurandy Sambo,Curaçao,DEF,1989000,2000000,-5000,-5000,-1000,-0.55,0,0.02,Nej,Nej
Armando Obispo,Curaçao,DEF,1998000,2000000,-47000,62000,-17000,-0.10,0,0.04,Nej,Nej
Riechedly Bazoer,Curaçao,DEF,1943000,2000000,-47000,-5000,-5000,-2.85,0,0.03,Nej,Nej
Jurien Gaari,Curaçao,DEF,2520000,2500000,-5000,42000,-17000,0.80,0,0.01,Nej,Nej
Sherel Floranus,Curaçao,DEF,2498000,2500000,-47000,62000,-17000,-0.08,0,0.01,Nej,Nej
Joshua Brenet,Curaçao,DEF,2540000,2500000,-5000,62000,-17000,1.60,0,0.02,Nej,Nej
Roshon van Eijma,Curaçao,DEF,2502000,2500000,-5000,12000,-5000,0.08,0,0.00,Nej,Nej
Livano Comenencia,Curaçao,DEF,2671000,2500000,128000,52000,-9000,6.84,0,0.01,Nej,Nej
Deveron Fonville,Curaçao,DEF,1998000,2000000,-47000,62000,-17000,-0.10,0,0.02,Nej,Nej
Keeto Thermoncy,Haiti,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Wilguens Paugain,Haiti,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.02,Nej,Nej
Delentz Pierre,Haiti,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Jean-Kevin Duverne,Haiti,DEF,2525000,2500000,-5000,-25000,55000,1.00,0,0.00,Nej,Nej
Ricardo Ade,Haiti,DEF,2463000,2500000,-9000,-15000,-13000,-1.48,0,0.00,Nej,Nej
Garven-Michee Metusala,Haiti,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.00,Nej,Nej
Carlens Arcus,Haiti,DEF,1937000,2000000,-9000,-45000,-9000,-3.15,0,0.01,Nej,Nej
Martin Experience,Haiti,DEF,1953000,2000000,-9000,-25000,-13000,-2.35,0,0.02,Nej,Nej
Duke Lacroix,Haiti,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
