Navn,Position,Hold,Pris,Totalvækst,Vækst,Vækst Runde 1
Ivan Sunjic,Midtbane,Bosnien-Hercegovina,2.987.000,-13.000,-17.000,+4.000
Ermedin Demirovic,Angreb,Bosnien-Hercegovina,2.987.000,-13.000,-17.000,+4.000
Edin Dzeko,Angreb,Bosnien-Hercegovina,4.474.000,-26.000,-21.000,-5.000
Sead Kolasinac,Forsvar,Bosnien-Hercegovina,2.551.000,+51.000,-23.000,+74.000
Esmir Bajraktarevic,Midtbane,Bosnien-Hercegovina,2.999.000,-1.000,-23.000,+22.000
Ivan Basic,Midtbane,Bosnien-Hercegovina,2.499.000,-1.000,-23.000,+22.000
Nikola Katic,Forsvar,Bosnien-Hercegovina,2.971.000,-29.000,-23.000,-6.000
Kerim Alajbegovic,Midtbane,Bosnien-Hercegovina,3.479.000,-21.000,-25.000,+4.000
Amar Dedic,Forsvar,Bosnien-Hercegovina,2.981.000,-19.000,-33.000,+14.000
Tarik Muharemovic,Forsvar,Bosnien-Hercegovina,2.955.000,-45.000,-59.000,+14.000
